,Actor1CountryCode,Actor1Name,GoldsteinScale,NumMentions,SQLDATE
300,LBR,ELLEN JOHNSON SIRLEAF,2.8,9,20110419
301,LBR,ELLEN JOHNSON SIRLEAF,1.0,9,20110807
302,LBR,ELLEN JOHNSON SIRLEAF,3.4,9,20110807
303,LBR,ELLEN JOHNSON SIRLEAF,-8.0,9,20110807
304,LBR,ELLEN JOHNSON SIRLEAF,7.4,9,20110809
305,LBR,ELLEN JOHNSON SIRLEAF,-2.0,9,20110810
306,LBR,ELLEN JOHNSON SIRLEAF,-0.4,10,20130518
307,LBR,ELLEN JOHNSON SIRLEAF,4.0,6,20130520
308,LBR,ELLEN JOHNSON SIRLEAF,-2.0,4,20130520
309,LBR,ELLEN JOHNSON SIRLEAF,-2.0,2,20130520
310,LBR,ELLEN JOHNSON SIRLEAF,-7.0,6,20130520
311,LBR,ELLEN JOHNSON SIRLEAF,-5.0,8,20130523
312,LBR,ELLEN JOHNSON SIRLEAF,-5.0,2,20130523
313,LBR,ELLEN JOHNSON SIRLEAF,1.9,5,20130128
314,LBR,ELLEN JOHNSON SIRLEAF,1.0,10,20130128
315,LBR,ELLEN JOHNSON SIRLEAF,1.9,6,20130130
316,LBR,ELLEN JOHNSON SIRLEAF,0.0,3,20130130
317,LBR,ELLEN JOHNSON SIRLEAF,7.0,7,20130130
318,LBR,ELLEN JOHNSON SIRLEAF,7.0,1,20130130
319,LBR,ELLEN JOHNSON SIRLEAF,1.9,2,20130130
320,LBR,ELLEN JOHNSON SIRLEAF,1.9,6,20130131
321,LBR,ELLEN JOHNSON SIRLEAF,0.0,15,20130131
322,LBR,ELLEN JOHNSON SIRLEAF,-6.5,10,20130131
323,LBR,ELLEN JOHNSON SIRLEAF,1.0,9,20130131
324,LBR,ELLEN JOHNSON SIRLEAF,1.9,2,20130131
325,LBR,ELLEN JOHNSON SIRLEAF,0.0,10,20130201
326,LBR,ELLEN JOHNSON SIRLEAF,1.0,4,20130201
327,LBR,ELLEN JOHNSON SIRLEAF,1.0,2,20130201
328,LBR,ELLEN JOHNSON SIRLEAF,1.0,2,20130201
329,LBR,ELLEN JOHNSON SIRLEAF,1.0,6,20130201
330,LBR,ELLEN JOHNSON SIRLEAF,1.0,2,20130201
331,LBR,ELLEN JOHNSON SIRLEAF,1.0,4,20130201
332,LBR,ELLEN JOHNSON SIRLEAF,1.0,30,20130201
333,LBR,ELLEN JOHNSON SIRLEAF,1.0,20,20130201
334,LBR,ELLEN JOHNSON SIRLEAF,-2.0,18,20070301
335,LBR,ELLEN JOHNSON SIRLEAF,7.0,10,20070301
336,LBR,ELLEN JOHNSON SIRLEAF,7.0,4,20070301
337,LBR,ELLEN JOHNSON SIRLEAF,1.9,9,20070306
338,LBR,ELLEN JOHNSON SIRLEAF,-5.0,9,20070308
339,LBR,ELLEN JOHNSON SIRLEAF,3.0,8,20070312
340,LBR,ELLEN JOHNSON SIRLEAF,3.0,1,20070312
341,LBR,ELLEN JOHNSON SIRLEAF,0.0,4,20070312
342,LBR,ELLEN JOHNSON SIRLEAF,0.0,2,20070312
343,LBR,ELLEN JOHNSON SIRLEAF,0.0,2,20070312
344,LBR,ELLEN JOHNSON SIRLEAF,-10.0,6,20070312
345,LBR,ELLEN JOHNSON SIRLEAF,-10.0,2,20070312
346,LBR,ELLEN JOHNSON SIRLEAF,-5.0,5,20070314
347,LBR,ELLEN JOHNSON SIRLEAF,-5.0,1,20070314
348,LBR,ELLEN JOHNSON SIRLEAF,-5.0,1,20070314
349,LBR,ELLEN JOHNSON SIRLEAF,0.0,5,20070315
350,LBR,ELLEN JOHNSON SIRLEAF,7.0,7,20070316
351,LBR,ELLEN JOHNSON SIRLEAF,1.0,7,20070319
352,LBR,ELLEN JOHNSON SIRLEAF,3.0,8,20070320
353,LBR,ELLEN JOHNSON SIRLEAF,1.9,6,20070320
354,LBR,ELLEN JOHNSON SIRLEAF,1.9,2,20070320
355,LBR,ELLEN JOHNSON SIRLEAF,-4.0,10,20140810
356,LBR,ELLEN JOHNSON SIRLEAF,-5.0,10,20140810
357,LBR,ELLEN JOHNSON SIRLEAF,1.0,116,20140810
358,LBR,ELLEN JOHNSON SIRLEAF,1.0,50,20140810
359,LBR,ELLEN JOHNSON SIRLEAF,1.0,30,20140810
360,LBR,ELLEN JOHNSON SIRLEAF,7.0,4,20140126
361,LBR,ELLEN JOHNSON SIRLEAF,7.0,6,20140126
362,LBR,ELLEN JOHNSON SIRLEAF,1.0,10,20140126
363,LBR,ELLEN JOHNSON SIRLEAF,0.0,10,20140126
364,LBR,ELLEN JOHNSON SIRLEAF,-5.0,10,20140127
365,LBR,ELLEN JOHNSON SIRLEAF,0.0,10,20140127
366,LBR,ELLEN JOHNSON SIRLEAF,1.0,5,20140127
367,LBR,ELLEN JOHNSON SIRLEAF,-0.4,6,20140127
368,LBR,ELLEN JOHNSON SIRLEAF,0.0,2,20140128
369,LBR,ELLEN JOHNSON SIRLEAF,3.0,2,20140128
370,LBR,ELLEN JOHNSON SIRLEAF,0.0,2,20140128
371,LBR,ELLEN JOHNSON SIRLEAF,-2.0,9,20100809
372,LBR,ELLEN JOHNSON SIRLEAF,-4.0,9,20100809
373,LBR,ELLEN JOHNSON SIRLEAF,1.0,7,20100810
374,LBR,ELLEN JOHNSON SIRLEAF,1.0,2,20100810
375,LBR,ELLEN JOHNSON SIRLEAF,4.0,12,20141202
